name,,,,T2,T2_ag,T2_ratio,E1,E1_ag,E1_ratio,R2,R2_ag,R2_ratio,Ca,Ca_ag,Ca_ratio,N3,N3_ag,N3_ratio,SW,SW_ag,SW_ratio,N2,N2_ag,N2_ratio
Stuart Buckland,2,2,0.5,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Sebas Swiggum,318,44,0.878,72,5,0.935,15,17,0.469,13,2,0.867,2,3,0.4,28,0,1,1,15,0.063,14,1,0.933
Brady Gross,302,61,0.832,69,8,0.896,21,29,0.42,5,4,0.556,4,4,0.5,18,0,1,6,18,0.25,17,0,1
Tyler Kim,172,65,0.726,53,7,0.883,21,23,0.477,6,3,0.667,1,0,1,4,2,0.667,16,9,0.64,4,2,0.667
Travis Bender,37,23,0.617,15,2,0.882,3,10,0.231,1,0,1,0,2,0,0,3,0,5,1,0.833,1,1,0.5
Martin Stewart,361,156,0.698,101,14,0.878,19,79,0.194,1,3,0.25,19,3,0.864,14,1,0.933,12,15,0.444,13,3,0.813
Devin Roberts,222,94,0.703,67,12,0.848,33,52,0.388,3,0,1,10,5,0.667,6,0,1,15,17,0.469,3,0,1
Adam Mickelson,333,145,0.697,80,19,0.808,26,52,0.333,8,9,0.471,6,3,0.667,16,4,0.8,9,10,0.474,9,2,0.818
Joseph Fernandez,20,13,0.606,4,1,0.8,1,1,0.5,1,2,0.333,1,1,0.5,2,1,0.667,0,0,0,1,1,0.5
Tashaud Nelson,8,8,0.5,4,1,0.8,0,6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Parker Elliot,20,23,0.465,7,3,0.7,2,3,0.4,2,1,0.667,0,1,0,0,3,0,1,0,1,0,1,0
Zorro Sanchez,60,33,0.645,16,7,0.696,13,8,0.619,2,2,0.5,1,1,0.5,5,0,1,4,0,1,0,0,0
Dylan Anderson,188,106,0.639,35,17,0.673,16,8,0.667,2,16,0.111,1,2,0.333,12,0,1,4,2,0.667,6,3,0.667
Tony Anger,115,105,0.523,37,20,0.649,12,32,0.273,0,2,0,2,0,1,3,4,0.429,10,15,0.4,3,2,0.6
Eric Fernandez,21,9,0.7,3,2,0.6,4,1,0.8,1,2,0.333,0,0,0,2,0,1,0,0,0,1,0,1
Hai Wei Ma,8,4,0.667,3,2,0.6,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Conner Elliott,13,13,0.5,5,4,0.556,1,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.5
Regan Schrempp,96,101,0.487,17,15,0.531,9,7,0.563,11,9,0.55,0,1,0,3,7,0.3,9,5,0.643,2,3,0.4
Jayden Haueter,62,39,0.614,9,8,0.529,8,2,0.8,3,2,0.6,0,0,0,8,5,0.615,1,1,0.5,2,1,0.667
Ian Haueter,71,77,0.48,15,14,0.517,10,5,0.667,3,6,0.333,0,0,0,3,5,0.375,0,1,0,6,8,0.429
Michael Mattison,223,193,0.536,47,46,0.505,50,39,0.562,7,5,0.583,5,4,0.556,5,3,0.625,14,19,0.424,6,1,0.857
Arath Noveron,9,13,0.409,2,3,0.4,0,0,0,2,1,0.667,0,0,0,0,1,0,0,0,0,0,1,0
Glenn Puit,5,13,0.278,2,3,0.4,1,2,0.333,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0
Helios Alvarado,7,19,0.269,2,3,0.4,3,0,1,0,2,0,0,0,0,0,2,0,1,0,1,0,1,0
Joey Anderson,78,135,0.366,15,29,0.341,15,20,0.429,4,4,0.5,1,1,0.5,2,8,0.2,22,7,0.759,1,2,0.333
Tyshawn Gow,14,20,0.412,3,6,0.333,0,2,0,0,0,0,0,0,0,2,2,0.5,0,0,0,1,0,1
Austin Laudenbach,186,270,0.408,27,64,0.297,32,19,0.627,5,10,0.333,1,3,0.25,4,7,0.364,11,6,0.647,7,7,0.5
Connor Spaeth,6,21,0.222,2,5,0.286,2,3,0.4,0,0,0,1,0,1,0,2,0,0,0,0,0,1,0
Cade Sungaard,21,41,0.339,4,12,0.25,8,1,0.889,1,4,0.2,0,0,0,1,2,0.333,0,2,0,0,1,0
Zach Saint-Jean,5,23,0.179,2,6,0.25,1,0,1,0,1,0,0,0,0,0,0,0,2,0,1,0,4,0
Guillermo Padilla,3,6,0.333,1,3,0.25,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Max Harvey,56,153,0.268,6,22,0.214,11,0,1,4,5,0.444,1,5,0.167,2,12,0.143,3,2,0.6,5,4,0.556
Hunter Aceret,12,49,0.197,3,16,0.158,3,3,0.5,0,2,0,0,0,0,0,3,0,1,3,0.25,1,0,1
Marcell Booth,81,285,0.221,8,56,0.125,25,10,0.714,7,10,0.412,16,1,0.941,2,21,0.087,3,4,0.429,1,9,0.1
Kevon Mallory,11,43,0.204,1,12,0.077,3,1,0.75,0,0,0,0,0,0,0,3,0,0,0,0,0,2,0
Jabril Ali,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Reese Priebe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Henry Le,3,16,0.158,0,6,0,3,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0
Marryk Degoey,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kevin Rosas,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DeShaun Holmes,0,6,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
John Krohn,0,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chris Greaves,7,36,0.163,0,10,0,6,1,0.857,0,2,0,0,0,0,0,3,0,0,0,0,0,0,0
Daunte Hill,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
David Lawson,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fernando Noveron,1,17,0.056,0,5,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
