name,,,,T2,T2_ag,T2_ratio,E1,E1_ag,E1_ratio,R2,R2_ag,R2_ratio,Ca,Ca_ag,Ca_ratio,N3,N3_ag,N3_ratio,SW,SW_ag,SW_ratio,N2,N2_ag,N2_ratio
Brody Kelsay,5,0,1,2,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tyler Kleindl,81,27,0.75,20,5,0.8,5,6,0.455,6,2,0.75,0,0,0,6,1,0.857,2,0,1,2,1,0.667
Trappier Botz,203,80,0.717,60,16,0.789,19,38,0.333,13,4,0.765,0,1,0,5,0,1,5,11,0.313,8,1,0.889
Landon Seward,176,69,0.718,43,14,0.754,35,5,0.875,5,15,0.25,2,1,0.667,12,0,1,1,1,0.5,3,2,0.6
Deryk Neu,47,44,0.516,12,6,0.667,5,4,0.556,4,6,0.4,0,0,0,2,4,0.333,1,0,1,2,2,0.5
Mitchell Chlian,7,13,0.35,2,1,0.667,0,1,0,0,1,0,0,0,0,1,2,0.333,0,1,0,0,1,0
Brendan Oberg,122,64,0.656,25,14,0.641,9,5,0.643,11,5,0.688,0,0,0,5,5,0.5,0,1,0,10,2,0.833
Nicholas Witt,165,95,0.635,36,21,0.632,13,26,0.333,15,6,0.714,1,1,0.5,7,2,0.778,2,3,0.4,7,4,0.636
Blaze Nelson,181,131,0.58,44,27,0.62,18,7,0.72,11,8,0.579,0,1,0,13,9,0.591,5,2,0.714,10,7,0.588
Mason Mcgrane,111,80,0.581,23,15,0.605,10,9,0.526,6,7,0.462,0,0,0,11,7,0.611,0,0,0,4,3,0.571
Keaton Snitker,18,10,0.643,4,3,0.571,1,2,0.333,3,1,0.75,0,0,0,1,0,1,0,0,0,0,0,0
Jeris Lemm,15,25,0.375,4,3,0.571,1,1,0.5,0,2,0,0,0,0,2,3,0.4,1,0,1,0,2,0
Ryan Borris,346,172,0.668,63,49,0.563,43,12,0.782,18,15,0.545,6,2,0.75,22,8,0.733,11,14,0.44,23,2,0.92
Cole Vatnsdal,148,96,0.607,26,21,0.553,11,4,0.733,10,10,0.5,1,1,0.5,10,9,0.526,1,0,1,11,0,1
AJ Sparr,188,163,0.536,42,34,0.553,23,14,0.622,12,12,0.5,2,1,0.667,11,11,0.5,4,7,0.364,9,7,0.563
Mason Teaser,89,92,0.492,19,18,0.514,8,4,0.667,8,7,0.533,2,3,0.4,7,10,0.412,0,0,0,2,2,0.5
Kylen Athey,27,37,0.422,4,4,0.5,0,0,0,3,5,0.375,0,0,0,1,6,0.143,0,0,0,5,0,1
Isaac Saffert,95,113,0.457,22,23,0.489,13,6,0.684,4,8,0.333,1,2,0.333,8,11,0.421,0,0,0,2,5,0.286
Gavryn Fernholz,70,88,0.443,18,19,0.486,8,4,0.667,3,7,0.3,1,0,1,4,7,0.364,0,0,0,2,5,0.286
Hunter Meyers,31,28,0.525,7,8,0.467,4,1,0.8,1,1,0.5,0,0,0,3,3,0.5,0,0,0,1,0,1
Kelly Johnson,155,232,0.401,40,49,0.449,27,18,0.6,11,15,0.423,3,4,0.429,6,23,0.207,0,5,0,3,3,0.5
Bryr Homelvig,121,176,0.407,29,38,0.433,20,14,0.588,9,14,0.391,0,2,0,5,13,0.278,2,1,0.667,3,8,0.273
JP Rodel,237,273,0.465,39,54,0.419,38,9,0.809,19,29,0.396,6,3,0.667,19,20,0.487,7,3,0.7,11,17,0.393
Wyatt Snitker,69,63,0.523,12,17,0.414,15,3,0.833,4,4,0.5,1,2,0.333,4,4,0.5,0,1,0,5,2,0.714
Logan Johnson,38,30,0.559,4,6,0.4,2,2,0.5,4,3,0.571,0,0,0,4,2,0.667,0,0,0,3,1,0.75
Kyler Miller,129,167,0.436,24,37,0.393,16,6,0.727,15,15,0.5,2,3,0.4,8,15,0.348,3,4,0.429,5,6,0.455
Bryce Kraker,51,89,0.364,9,15,0.375,5,1,0.833,9,7,0.563,0,0,0,1,7,0.125,0,1,0,1,8,0.111
Jackson Saffert,7,12,0.368,3,5,0.375,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Tate Runge,189,235,0.446,36,64,0.36,46,15,0.754,12,16,0.429,2,8,0.2,9,14,0.391,6,9,0.4,2,8,0.2
Cody Vatnsdal,184,183,0.501,28,50,0.359,19,5,0.792,31,16,0.66,0,2,0,11,10,0.524,2,3,0.4,5,7,0.417
Zachary Richards,11,38,0.224,3,7,0.3,3,1,0.75,1,2,0.333,0,0,0,0,4,0,0,0,0,0,3,0
Cyler Coauette,56,100,0.359,11,27,0.289,5,4,0.556,3,2,0.6,0,0,0,3,8,0.273,0,0,0,4,5,0.444
Cole Ehlert,75,125,0.375,11,27,0.289,18,5,0.783,10,13,0.435,2,1,0.667,0,6,0,0,0,0,1,7,0.125
Xavier Homelvig,16,27,0.372,3,9,0.25,7,3,0.7,1,1,0.5,0,0,0,0,1,0,0,0,0,0,0,0
Sam Wicken,8,28,0.222,2,7,0.222,0,1,0,1,0,1,0,0,0,0,4,0,0,0,0,1,0,1
Cody Richardson,61,159,0.277,12,45,0.211,21,12,0.636,3,8,0.273,1,2,0.333,0,3,0,4,1,0.8,1,10,0.091
Jack Roth,42,132,0.241,8,35,0.186,16,4,0.8,1,7,0.125,0,0,0,1,8,0.111,0,1,0,1,10,0.091
Evan Strand,44,91,0.326,6,27,0.182,7,4,0.636,6,4,0.6,0,0,0,3,4,0.429,0,0,0,2,6,0.25
Mason Evjen,15,26,0.366,2,9,0.182,3,0,1,1,1,0.5,0,0,0,1,2,0.333,0,0,0,1,0,1
Davyun Schaefer,3,40,0.07,1,5,0.167,0,0,0,0,1,0,0,0,0,0,8,0,0,0,0,0,1,0
Ryan Schultz,62,167,0.271,9,50,0.153,22,6,0.786,0,6,0,1,1,0.5,4,12,0.25,0,1,0,0,6,0
Wyatt Marshall,38,84,0.311,5,28,0.152,14,1,0.933,3,4,0.429,1,0,1,1,5,0.167,0,0,0,1,1,0.5
Connor Lay,9,16,0.36,1,7,0.125,2,0,1,1,0,1,0,0,0,1,0,1,0,1,0,0,1,0
Brayden Fiala,7,41,0.146,2,17,0.105,3,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0
Trent Koloski,9,42,0.176,1,9,0.1,2,1,0.667,2,4,0.333,0,2,0,0,2,0,0,0,0,0,4,0
Landon Day,1,19,0.05,0,5,0,1,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
Stone Smith,8,31,0.205,0,7,0,0,2,0,4,4,0.5,0,0,0,0,2,0,0,0,0,0,0,0
Dylan Marshall,2,14,0.125,0,5,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0
Caden Williams,2,20,0.091,0,9,0,2,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
Cohen Hunter,2,14,0.125,0,4,0,2,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
Caleb Laurent,1,78,0.013,0,17,0,1,0,1,0,3,0,0,0,0,0,10,0,0,0,0,0,2,0
