name,,,,T2,T2_ag,T2_ratio,E1,E1_ag,E1_ratio,R2,R2_ag,R2_ratio,Ca,Ca_ag,Ca_ratio,N3,N3_ag,N3_ratio,SW,SW_ag,SW_ratio,N2,N2_ag,N2_ratio
Cody Headbird,27,0,1,4,0,1,2,0,1,4,0,1,0,0,0,3,0,1,1,0,1,0,0,0
Trevor Janssen,290,116,0.714,69,6,0.92,3,45,0.063,5,3,0.625,3,4,0.429,13,2,0.867,2,4,0.333,5,1,0.833
Ian Frenzel,378,96,0.797,96,9,0.914,11,53,0.172,4,2,0.667,2,2,0.5,19,0,1,4,7,0.364,12,1,0.923
Mason Smid,301,174,0.634,41,23,0.641,21,23,0.477,27,21,0.563,2,2,0.5,18,10,0.643,8,8,0.5,12,4,0.75
Eli Sharbono,196,120,0.62,41,23,0.641,14,17,0.452,8,9,0.471,3,1,0.75,8,5,0.615,7,5,0.583,5,4,0.556
Trenten Juelson,64,34,0.653,8,5,0.615,4,0,1,2,4,0.333,1,0,1,4,1,0.8,0,0,0,2,0,1
Christian Pater,182,131,0.581,29,22,0.569,11,8,0.579,10,11,0.476,0,1,0,13,12,0.52,0,3,0,13,5,0.722
Trevor Croaker,8,8,0.5,2,2,0.5,0,0,0,1,2,0.333,0,0,0,0,0,0,0,0,0,1,0,1
Gavyn Dickenson,2,9,0.182,1,1,0.5,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
Joe Briski,18,20,0.474,1,1,0.5,0,0,0,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0
Charles Briski,4,11,0.267,2,2,0.5,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
Xayvion Rodgers,148,150,0.497,28,34,0.452,26,13,0.667,9,7,0.563,9,4,0.692,5,3,0.625,2,1,0.667,5,1,0.833
Logan Dobmeier,237,193,0.551,34,46,0.425,31,25,0.554,18,8,0.692,1,2,0.333,7,6,0.538,6,2,0.75,10,1,0.909
Brayden Rose,59,105,0.36,14,21,0.4,9,11,0.45,3,6,0.333,0,1,0,2,6,0.25,2,1,0.667,0,3,0
Jordan Howard,24,38,0.387,6,10,0.375,1,3,0.25,1,0,1,0,0,0,3,4,0.429,0,0,0,0,0,0
Christian Schmidt,50,113,0.307,10,18,0.357,3,8,0.273,9,6,0.6,0,0,0,2,11,0.154,1,1,0.5,0,8,0
Colter Humphrey,95,145,0.396,14,26,0.35,14,15,0.483,8,8,0.5,1,1,0.5,1,6,0.143,5,2,0.714,3,5,0.375
Keeton Yates,5,11,0.313,2,4,0.333,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Carter Pater,81,172,0.32,15,33,0.313,10,14,0.417,6,6,0.5,2,1,0.667,0,11,0,0,1,0,2,1,0.667
Billy Roberts,15,44,0.254,4,12,0.25,0,1,0,1,2,0.333,0,0,0,1,0,1,0,0,0,0,1,0
Allen Masten,11,50,0.18,2,12,0.143,4,1,0.8,0,1,0,0,0,0,1,5,0.167,0,1,0,0,4,0
Tyreese Goodman,38,164,0.188,4,32,0.111,9,5,0.643,2,6,0.25,3,1,0.75,0,6,0,3,1,0.75,0,8,0
Landon Gross,181,365,0.332,9,79,0.102,51,9,0.85,23,24,0.489,7,3,0.7,6,23,0.207,2,1,0.667,3,7,0.3
Shayne Swedberg,6,67,0.082,1,14,0.067,1,0,1,1,4,0.2,0,0,0,0,7,0,1,0,1,0,5,0
Jastyn Rodgers,32,121,0.209,1,26,0.037,11,2,0.846,5,6,0.455,0,1,0,1,11,0.083,3,1,0.75,1,6,0.143
Jordan Reeves,8,17,0.32,0,3,0,1,0,1,1,2,0.333,0,0,0,1,1,0.5,0,0,0,1,2,0.333
Jordan Hughs,1,21,0.045,0,7,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0
Michael Tischbirek,0,6,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Emilio Carmona,1,13,0.071,0,5,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
