name,,,,T2,T2_ag,T2_ratio,E1,E1_ag,E1_ratio,R2,R2_ag,R2_ratio,Ca,Ca_ag,Ca_ratio,N3,N3_ag,N3_ratio,SW,SW_ag,SW_ratio,N2,N2_ag,N2_ratio
Ethan Evjen,7,1,0.875,3,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
Jake Pederson,8,4,0.667,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Jaden Kindopp,99,32,0.756,25,3,0.893,14,18,0.438,1,0,1,4,1,0.8,3,0,1,7,4,0.636,0,0,0
Kalib Greenman,136,118,0.535,28,13,0.683,7,25,0.219,5,2,0.714,0,1,0,7,4,0.636,8,2,0.8,2,3,0.4
Josh Steffen,126,80,0.612,23,11,0.676,16,14,0.533,6,5,0.545,1,1,0.5,3,0,1,5,6,0.455,4,0,1
Denver Noyes,35,22,0.614,11,7,0.611,5,6,0.455,3,0,1,1,0,1,0,0,0,4,1,0.8,1,0,1
Nick Wagner,14,16,0.467,6,5,0.545,2,6,0.25,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
Lane Fink,162,141,0.535,22,21,0.512,15,5,0.75,7,14,0.333,2,3,0.4,8,3,0.727,4,4,0.5,9,1,0.9
Evan Stoks,90,111,0.448,15,21,0.417,14,12,0.538,3,0,1,0,2,0,1,3,0.25,1,7,0.125,0,2,0
Parker Verhelst,25,46,0.352,4,6,0.4,6,2,0.75,1,3,0.25,1,0,1,0,1,0,2,4,0.333,0,0,0
Jacobi Conner,6,8,0.429,2,3,0.4,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Noah Steffen,124,171,0.42,23,39,0.371,23,19,0.548,6,6,0.5,2,2,0.5,2,4,0.333,4,6,0.4,3,3,0.5
Jake Wagner,138,174,0.442,23,41,0.359,27,14,0.659,5,4,0.556,2,4,0.333,6,6,0.5,9,4,0.692,8,1,0.889
Tanner Drietz,106,197,0.35,13,26,0.333,13,16,0.448,9,2,0.818,0,0,0,3,2,0.6,2,1,0.667,2,4,0.333
Alex Full,108,101,0.517,12,27,0.308,21,2,0.913,3,4,0.429,1,2,0.333,6,3,0.667,1,1,0.5,4,2,0.667
Coltyn Drietz,78,129,0.377,8,18,0.308,13,5,0.722,2,5,0.286,1,0,1,2,4,0.333,4,2,0.667,1,4,0.2
shane Noyes,100,125,0.444,11,28,0.282,26,10,0.722,6,5,0.545,0,1,0,1,2,0.333,3,8,0.273,5,1,0.833
Hunter Cleveland,56,96,0.368,9,24,0.273,16,5,0.762,2,1,0.667,1,0,1,1,7,0.125,1,0,1,0,1,0
Parker Viessman,112,289,0.279,16,43,0.271,20,6,0.769,4,15,0.211,4,2,0.667,3,13,0.188,7,3,0.7,4,6,0.4
Brayden Gravdal,28,111,0.201,4,13,0.235,5,1,0.833,3,3,0.5,1,0,1,1,6,0.143,1,0,1,0,4,0
Lincoln Fink,95,204,0.318,13,44,0.228,16,13,0.552,6,8,0.429,4,0,1,5,14,0.263,2,2,0.5,4,4,0.5
Easton Antony,11,12,0.478,1,6,0.143,3,0,1,0,0,0,1,0,1,2,0,1,0,0,0,0,0,0
Kyle King,1,6,0.143,0,3,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brodryck Gravdal,0,25,0,0,4,0,0,1,0,0,1,0,0,0,0,0,2,0,0,0,0,0,4,0
