name,,,,T2,T2_ag,T2_ratio,E1,E1_ag,E1_ratio,R2,R2_ag,R2_ratio,Ca,Ca_ag,Ca_ratio,N3,N3_ag,N3_ratio,SW,SW_ag,SW_ratio,N2,N2_ag,N2_ratio
Lafayette Bade,124,73,0.629,30,11,0.732,14,21,0.4,8,2,0.8,0,1,0,8,5,0.615,5,10,0.333,3,4,0.429
Tyler Benson,318,183,0.635,89,33,0.73,36,68,0.346,8,7,0.533,0,3,0,6,4,0.6,10,5,0.667,11,3,0.786
Lorser Wuanti,18,6,0.75,2,1,0.667,1,0,1,2,2,0.5,0,0,0,3,0,1,0,0,0,0,0,0
Gage Clem,217,139,0.61,51,29,0.638,22,33,0.4,11,10,0.524,2,1,0.667,13,2,0.867,1,1,0.5,5,3,0.625
Colton Pool,204,118,0.634,41,29,0.586,26,16,0.619,7,3,0.7,9,0,1,14,8,0.636,7,4,0.636,3,2,0.6
Brady Thompson,82,37,0.689,17,13,0.567,9,4,0.692,2,1,0.667,1,5,0.167,7,1,0.875,2,0,1,0,0,0
Hunter Larson,139,126,0.525,26,25,0.51,13,14,0.481,3,7,0.3,2,0,1,13,8,0.619,4,1,0.8,3,1,0.75
Seth Hopkins,96,89,0.519,21,21,0.5,28,23,0.549,6,1,0.857,1,1,0.5,1,0,1,4,7,0.364,1,1,0.5
Jessie Hickman,3,10,0.231,1,1,0.5,1,0,1,0,2,0,2,0,1,0,0,0,0,0,0,0,1,0
Benson Kozitka,55,79,0.41,15,20,0.429,11,6,0.647,1,2,0.333,0,1,0,0,4,0,6,0,1,2,5,0.286
Wyatt Schimmelman,225,283,0.443,46,62,0.426,41,46,0.471,16,14,0.533,6,2,0.75,5,13,0.278,15,1,0.938,4,15,0.211
Gavin Hilyar,162,194,0.455,29,40,0.42,29,18,0.617,15,17,0.469,0,1,0,7,7,0.5,4,4,0.5,3,5,0.375
Harrison Simmonds,22,19,0.537,5,7,0.417,2,3,0.4,0,1,0,1,0,1,3,0,1,1,2,0.333,0,0,0
Bryson Skoog,24,30,0.444,7,10,0.412,6,6,0.5,1,1,0.5,0,0,0,0,0,0,1,2,0.333,1,0,1
Alex Sanborn,63,74,0.46,9,14,0.391,10,0,1,6,9,0.4,1,0,1,5,6,0.455,2,1,0.667,3,5,0.375
Colton Strain,160,262,0.379,29,52,0.358,33,11,0.75,9,17,0.346,2,4,0.333,6,22,0.214,3,2,0.6,4,6,0.4
Anthony Hanson,44,60,0.423,7,13,0.35,7,5,0.583,3,3,0.5,5,1,0.833,2,2,0.5,1,2,0.333,0,1,0
Eli Williams,123,190,0.393,21,42,0.333,25,17,0.595,10,8,0.556,2,6,0.25,6,6,0.5,4,3,0.571,3,9,0.25
John Krivich,110,180,0.379,16,42,0.276,23,21,0.523,4,2,0.667,0,0,0,6,7,0.462,0,3,0,6,8,0.429
Eli Greenberg,18,48,0.273,4,12,0.25,8,2,0.8,0,3,0,0,0,0,0,4,0,0,0,0,1,2,0.333
Cade Sabby,18,45,0.286,3,14,0.176,4,2,0.667,1,1,0.5,1,0,1,1,3,0.25,0,2,0,1,2,0.333
Cody Eggers,13,14,0.481,0,4,0,1,0,1,3,1,0.75,1,2,0.333,1,0,1,0,0,0,1,1,0.5
