name,Team Points,,,win,loss,win_ratio,SV-1,,,Fall,,,TF,,,MD,,,Dec,,,TB-1,,
Colton Bornholdt,97.5,0,1,17,0,1,0,0,0,6,0,1,4,0,1,0,0,0,6,0,1,0,0,0
Evan Farley,37,0,1,10,1,0.909,0,0,0,5,0,1,0,0,0,0,0,0,4,1,0.8,0,0,0
Nick Novak,215,5,0.977,48,5,0.906,0,0,0,25,0,1,8,1,0.889,4,0,1,8,4,0.667,0,0,0
Colby Dunkel,184.5,6,0.969,38,6,0.864,0,1,0,24,2,0.923,2,0,1,5,1,0.833,3,0,1,0,0,0
Joey Novak,178.5,6,0.967,39,7,0.848,2,0,1,23,1,0.958,1,0,1,3,1,0.75,8,4,0.667,0,0,0
Brennan Rutt,199.5,12,0.943,38,8,0.826,0,0,0,24,3,0.889,3,0,1,5,2,0.714,1,2,0.333,0,0,0
William Busch,114,31,0.786,30,10,0.75,0,0,0,5,4,0.556,2,0,1,3,1,0.75,16,5,0.762,0,0,0
Max Scheffler,156,15,0.912,32,11,0.744,0,0,0,14,2,0.875,1,0,1,6,1,0.857,7,7,0.5,0,0,0
Jake Trachte,121.5,25,0.829,33,12,0.733,0,0,0,12,4,0.75,1,2,0.333,3,1,0.75,11,4,0.733,0,0,0
Jay Skogerboe,122,28,0.813,28,13,0.683,0,0,0,15,2,0.882,4,0,1,1,2,0.333,5,9,0.357,0,0,0
Matt Giesen,21,12,0.636,6,3,0.667,0,0,0,4,2,0.667,0,0,0,0,0,0,1,1,0.5,0,0,0
Bryce Lofton,64,18,0.78,17,9,0.654,0,0,0,10,3,0.769,1,0,1,1,2,0.333,2,4,0.333,0,0,0
Noah Block,20,12,0.625,7,4,0.636,0,0,0,6,4,0.6,0,0,0,1,0,1,0,0,0,0,0,0
Joshua Anderson,24,3,0.889,5,3,0.625,0,0,0,3,2,0.6,0,0,0,0,0,0,1,1,0.5,0,0,0
Evan Anderson,95.5,66,0.591,23,16,0.59,0,0,0,11,12,0.478,0,0,0,0,0,0,6,4,0.6,0,0,0
Ryan Wagner,50,45,0.526,17,13,0.567,0,0,0,9,7,0.563,0,2,0,3,1,0.75,2,3,0.4,0,0,0
Memphis Connelly,22,9,0.71,5,4,0.556,0,0,0,3,3,0.5,0,0,0,0,0,0,0,1,0,0,0,0
Jacob Vaughan,58,48,0.547,16,13,0.552,0,0,0,4,5,0.444,0,3,0,2,2,0.5,7,3,0.7,0,0,0
Carter Bornholdt,35,13,0.729,13,11,0.542,0,0,0,4,2,0.667,0,1,0,3,2,0.6,5,5,0.5,0,0,0
Ethan Gregory,86,49,0.637,22,19,0.537,1,0,1,7,8,0.467,0,2,0,4,3,0.571,4,6,0.4,1,0,1
Carson Bittner,15,12,0.556,6,6,0.5,0,0,0,4,4,0.5,0,0,0,0,0,0,1,2,0.333,0,0,0
Luke Dorweiler,48.5,43,0.53,12,13,0.48,0,0,0,6,7,0.462,1,0,1,0,2,0,3,4,0.429,0,0,0
Simon Kajer,61,93,0.396,21,27,0.438,1,0,1,15,15,0.5,0,0,0,1,7,0.125,2,5,0.286,0,0,0
Alex Gregory,9,24,0.273,3,6,0.333,0,0,0,2,5,0.286,0,0,0,0,0,0,0,1,0,0,0,0
Jeff Bisek,6,41,0.128,2,9,0.182,0,0,0,1,7,0.125,0,1,0,0,0,0,0,0,0,0,0,0
Austin Navoichick,0,12,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
