name,,,,T2,T2_ag,T2_ratio,E1,E1_ag,E1_ratio,R2,R2_ag,R2_ratio,Ca,Ca_ag,Ca_ratio,N3,N3_ag,N3_ratio,SW,SW_ag,SW_ratio,N2,N2_ag,N2_ratio
Shaun Bestland,4,0,1,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Ayden Friese,309,121,0.719,97,10,0.907,22,73,0.232,10,5,0.667,2,4,0.333,7,2,0.778,6,6,0.5,8,1,0.889
Derrick Lien,10,18,0.357,2,1,0.667,0,0,0,0,4,0,0,0,0,2,2,0.5,0,0,0,0,1,0
Abel Chaparro,113,163,0.409,36,24,0.6,13,35,0.271,4,7,0.364,4,2,0.667,2,8,0.2,10,5,0.667,4,3,0.571
Gunner Stier,254,195,0.566,55,38,0.591,40,35,0.533,14,10,0.583,2,6,0.25,5,3,0.625,11,9,0.55,4,6,0.4
Jack Howard,122,127,0.49,21,21,0.5,12,12,0.5,10,10,0.5,1,0,1,4,6,0.4,6,6,0.5,1,4,0.2
David Hidalgo,59,83,0.415,14,16,0.467,8,3,0.727,2,6,0.25,1,1,0.5,2,4,0.333,8,0,1,1,6,0.143
Luis Guzman,16,20,0.444,4,5,0.444,2,2,0.5,0,1,0,0,0,0,2,0,1,0,0,0,0,3,0
Quinn Kotek,16,10,0.615,3,4,0.429,2,0,1,1,1,0.5,0,0,0,2,0,1,0,0,0,0,0,0
Luke Kluver,91,145,0.386,28,38,0.424,18,10,0.643,3,7,0.3,0,1,0,3,10,0.231,8,2,0.8,1,7,0.125
Sam Ohliger,50,112,0.309,12,17,0.414,1,4,0.2,4,10,0.286,5,0,1,3,9,0.25,3,1,0.75,2,5,0.286
Hunter Wilke,125,227,0.355,25,41,0.379,26,12,0.684,6,14,0.3,0,2,0,5,21,0.192,3,4,0.429,3,9,0.25
Javier Jackson,77,179,0.301,17,37,0.315,13,19,0.406,6,6,0.5,1,0,1,2,11,0.154,1,2,0.333,4,2,0.667
Nolan Hildahl,33,113,0.226,6,24,0.2,6,11,0.353,4,2,0.667,1,1,0.5,2,13,0.133,3,4,0.429,0,4,0
Tarrick Rupp,8,17,0.32,1,5,0.167,1,1,0.5,1,0,1,0,0,0,0,2,0,2,0,1,1,0,1
Hunter Wolf,24,66,0.267,3,18,0.143,6,9,0.4,2,4,0.333,0,1,0,2,1,0.667,3,3,0.5,0,3,0
Cole Fischer,30,127,0.191,6,40,0.13,11,10,0.524,1,5,0.167,1,0,1,0,6,0,8,4,0.667,0,1,0
Richard Vaughn,22,110,0.167,3,23,0.115,10,2,0.833,0,6,0,0,0,0,0,7,0,0,0,0,0,3,0
Jaden Gorres,37,63,0.37,2,19,0.095,3,1,0.75,3,3,0.5,2,0,1,3,0,1,1,0,1,1,3,0.25
Brady Rhode,6,26,0.188,1,10,0.091,0,1,0,2,0,1,0,0,0,0,1,0,1,0,1,0,1,0
Chase Corner,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Caleb Hoff,16,100,0.138,0,23,0,2,2,0.5,6,5,0.545,1,0,1,0,8,0,0,0,0,0,9,0
Hunter Gullickson,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wyatt Dambroten,3,19,0.136,0,6,0,3,1,0.75,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0
